Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,GP,W,L,ERA,WHIP,SV,Type,DraftedOutOf,link,id_type,player_id,notes,team_id
1971,1,6sc,1,FrRnd,1,White Sox,Y,,Pete Varney (minors),C,0.3,69,190,5,.247,.661,,,,,,,4Yr,"Harvard University (Cambridge, MA)",/players/v/varnepe01.shtml,baseball_reference_id,varnepe01,NA,CHW
1971,1,6sc,2,FrRnd,2,Cardinals,Y,,Mike Swenton (minors),OF,,,,,,,,,,,,,4Yr,"University of Oklahoma (Norman, OK)",/register/player.fcgi?id=swento001mic,baseball_reference_minor_league_id,swento001mic,NA,STL
1971,1,6sc,3,FrRnd,3,Angels,Y,,Jim Officer (minors),LHP,,,,,,,,,,,,,4Yr,"University of Oregon (Eugene, OR)",/register/player.fcgi?id=office001jam,baseball_reference_minor_league_id,office001jam,NA,ANA
1971,1,6sc,4,FrRnd,4,Astros,Y,,David Kaster (minors),RHP,,,,,,,,,,,,,4Yr,"University of Nebraska Omaha (Omaha, NE)",/register/player.fcgi?id=kaster001dav,baseball_reference_minor_league_id,kaster001dav,NA,HOU
1971,1,6sc,5,FrRnd,5,Senators,Y,,Vernon Wilkins (minors),1B,,,,,,,,,,,,,JC,"Mesa Community College (Mesa, AZ)",/register/player.fcgi?id=wilkin001ver,baseball_reference_minor_league_id,wilkin001ver,NA,TEX
1971,1,6sc,6,FrRnd,6,Giants,Y,,Steve Stroughter (minors),OF,-0.3,26,47,1,.170,.491,,,,,,,JC,"College of the Sequoias (Visalia, CA)",/players/s/stroust01.shtml,baseball_reference_id,stroust01,NA,SFG
1971,1,6sc,7,FrRnd,7,Red Sox,N,,Lynn McKinney (minors),RHP,,,,,,,,,,,,,JC,"Rio Hondo College (Whittier, CA)",/register/player.fcgi?id=mckinn001lyn,baseball_reference_minor_league_id,mckinn001lyn,NA,BOS
1971,1,6sc,8,FrRnd,8,Expos,N,,Ronald Herring (minors),RHP,,,,,,,,,,,,,JC,"Chipola College (Marianna, FL)",/register/player.fcgi?id=herrin001ron,baseball_reference_minor_league_id,herrin001ron,NA,WSN
1971,1,6sc,9,FrRnd,9,Orioles,Y,,Robert Sekel (minors),RHP,,,,,,,,,,,,,JC,"Niagara County Community College (Sanborn, NY)",/register/player.fcgi?id=sekel-001rob,baseball_reference_minor_league_id,sekel-001rob,NA,BAL
1971,1,6sc,10,FrRnd,10,Braves,N,,Ron Hodges (minors),C,6.1,666,1426,19,.240,.663,,,,,,,4Yr,"Appalachian State University (Boone, NC)",/players/h/hodgero01.shtml,baseball_reference_id,hodgero01,NA,ATL
1971,1,6sc,11,FrRnd,11,Tigers,Y,,Arnold Costell (minors),LHP,,,,,,,,,,,,,JC,"Nassau Community College (Garden City, NY)",/register/player.fcgi?id=costel001arn,baseball_reference_minor_league_id,costel001arn,NA,DET
1971,1,6sc,12,FrRnd,12,Mets,Y,,Edgar DeFore (minors),RHP,,,,,,,,,,,,,4Yr,"University of Georgia (Athens, GA)",/register/player.fcgi?id=defore001edg,baseball_reference_minor_league_id,defore001edg,NA,NYM
1971,1,6sc,13,FrRnd,13,Royals,N,,Gary Anglin (minors),LHP,,,,,,,,,,,,,JC,"Ventura College (Ventura, CA)",/register/player.fcgi?id=anglin000gar,baseball_reference_minor_league_id,anglin000gar,NA,KCR
1971,1,6sc,14,FrRnd,14,Dodgers,N,,Michael Pfitzer (minors),RHP,,,,,,,,,,,,,JC,"Mesa Community College (Mesa, AZ)",/register/player.fcgi?id=pfitze001mic,baseball_reference_minor_league_id,pfitze001mic,NA,LAD
1971,1,6sc,15,FrRnd,15,Twins,N,,Randolph Delerio (minors),C,,,,,,,,,,,,,JC,"West Hills College (Coalinga, CA)",/register/player.fcgi?id=deleri001ran,baseball_reference_minor_league_id,deleri001ran,NA,MIN
1971,1,6sc,16,FrRnd,16,Phillies,Y,,Donald Kreke (minors),RHP,,,,,,,,,,,,,JC,"Southwestern Illinois College (Belleville, IL)",/register/player.fcgi?id=kreke-001don,baseball_reference_minor_league_id,kreke-001don,NA,PHI
1971,1,6sc,17,FrRnd,17,Yankees,Y,,David Bishop (minors),LHP,,,,,,,,,,,,,,,/register/player.fcgi?id=bishop001dav,baseball_reference_minor_league_id,bishop001dav,NA,NYY
1971,1,6sc,17,FrRnd,17,Indians,N,,Jim Cox (minors),SS,-0.7,110,307,3,.215,.570,,,,,,,4Yr,"University of Iowa (Iowa City, IA)",/players/c/coxji01.shtml,baseball_reference_id,coxji01,NA,CLE
1971,1,6sc,18,FrRnd,18,Cubs,N,,Jim Otten (minors),RHP,-2.1,55,7,0,.143,.286,64,1,6,5.46,1.83,0,JC,"Mesa Community College (Mesa, AZ)",/players/o/ottenji01.shtml,baseball_reference_id,ottenji01,NA,CHC
1971,1,6sc,19,FrRnd,19,Athletics,N,,Stephen Easton (minors),LHP,,,,,,,,,,,,,4Yr,"Brigham Young University (Provo, UT)",/register/player.fcgi?id=easton001ste,baseball_reference_minor_league_id,easton001ste,NA,OAK
1971,1,6sc,20,FrRnd,20,Reds,Y,,Darrell Devitt (minors),RHP,,,,,,,,,,,,,JC,"Mesa Community College (Mesa, AZ)",/register/player.fcgi?id=devitt001dar,baseball_reference_minor_league_id,devitt001dar,NA,CIN
1971,1,6sc,21,FrRnd,21,Indians,N,,Keith Matheny (minors),RHP,,,,,,,,,,,,,JC,"Green River Community College (Auburn, WA)",/register/player.fcgi?id=mathen001kei,baseball_reference_minor_league_id,mathen001kei,NA,CLE
1971,1,6sc,22,FrRnd,22,Padres,Y,,Billy Hodge (minors),C,,,,,,,,,,,,,4Yr,"Texas A&M University (College Station, TX)",/register/player.fcgi?id=hodge-002wil,baseball_reference_minor_league_id,hodge-002wil,NA,SDP
1971,1,6sc,23,FrRnd,23,Brewers,Y,,Gary Cavallo (minors),RHP,,,,,,,,,,,,,4Yr,"Seton Hall University (South Orange, NJ)",/register/player.fcgi?id=cavall001gar,baseball_reference_minor_league_id,cavall001gar,NA,MIL
1971,2,6sc,24,FrRnd,1,White Sox,N,,William Taylor (minors),INF,,,,,,,,,,,,,JC,"MiraCosta College (Oceanside, CA)",/register/player.fcgi?id=taylor017wil,baseball_reference_minor_league_id,taylor017wil,NA,CHW
1971,2,6sc,25,FrRnd,2,Cardinals,N,,Roy Smalley (minors),SS,27.9,1653,5657,163,.257,.740,,,,,,,,,/players/s/smallro02.shtml,baseball_reference_id,smallro02,NA,STL
1971,2,6sc,26,FrRnd,3,Angels,Y,,Darroll Phillips (minors),RHP,,,,,,,,,,,,,JC,"Laney College (Oakland, CA)",/register/player.fcgi?id=philli004dar,baseball_reference_minor_league_id,philli004dar,NA,ANA
1971,2,6sc,27,FrRnd,4,Senators,N,,Steve Behlen (minors),LHP,,,,,,,,,,,,,JC,"Fresno City College (Fresno, CA)",/register/player.fcgi?id=behlen000ste,baseball_reference_minor_league_id,behlen000ste,NA,TEX
1971,2,6sc,28,FrRnd,5,Giants,N,,Terry Farmer (minors),RHP,,,,,,,,,,,,,JC,"Chipola College (Marianna, FL)",/register/player.fcgi?id=farmer000ter,baseball_reference_minor_league_id,farmer000ter,NA,SFG
1971,2,6sc,29,FrRnd,6,Red Sox,Y,,Earl Nance (minors),LHP,,,,,,,,,,,,,4Yr,"Auburn University (Auburn, AL)",/register/player.fcgi?id=nance-001ric,baseball_reference_minor_league_id,nance-001ric,NA,BOS
1971,2,6sc,30,FrRnd,7,Expos,N,,Larry O'Brien (minors),RHP,,,,,,,,,,,,,JC,"Indian Hills Community College (Centerville, IA)",/register/player.fcgi?id=obrien002lar,baseball_reference_minor_league_id,obrien002lar,NA,WSN
1971,2,6sc,31,FrRnd,8,Orioles,N,,Rod Walker (minors),RHP,,,,,,,,,,,,,JC,"Mississippi Gulf Coast Community College (Perkinston, MS)",/register/player.fcgi?id=walker003rod,baseball_reference_minor_league_id,walker003rod,NA,BAL
1971,2,6sc,32,FrRnd,9,Mets,N,,Don Collins (minors),LHP,0.7,40,11,0,.000,.000,44,3,9,5.28,1.81,2,JC,"South Georgia College (Douglas, GA)",/players/c/collido01.shtml,baseball_reference_id,collido01,NA,NYM
1971,2,6sc,33,FrRnd,10,Royals,Y,,Steve Staggs (minors),INF,0.6,119,369,2,.255,.700,,,,,,,JC,"Cerritos College (Norwalk, CA)",/players/s/staggst01.shtml,baseball_reference_id,staggst01,NA,KCR
1971,2,6sc,34,FrRnd,11,Dodgers,Y,,Roger Keilig (minors),C,,,,,,,,,,,,,JC,"Cañada College (Redwood City, CA)",/register/player.fcgi?id=keilig001rog,baseball_reference_minor_league_id,keilig001rog,NA,LAD
1971,2,6sc,35,FrRnd,12,Twins,N,,Dan Everts (minors),RHP,,,,,,,,,,,,,JC,"Rio Hondo College (Whittier, CA)",/register/player.fcgi?id=everts000dan,baseball_reference_minor_league_id,everts000dan,NA,MIN
1971,2,6sc,36,FrRnd,13,Phillies,Y,,Stephen Bissett (minors),2B,,,,,,,,,,,,,JC,"College of San Mateo (San Mateo, CA)",/register/player.fcgi?id=bisset001ste,baseball_reference_minor_league_id,bisset001ste,NA,PHI
1971,2,6sc,37,FrRnd,14,Yankees,N,,Steve Hunter (minors),C,,,,,,,,,,,,,JC,"Yakima Valley Community College (Yakima, WA)",/register/player.fcgi?id=hunter000ste,baseball_reference_minor_league_id,hunter000ste,NA,NYY
1971,2,6sc,38,FrRnd,15,Athletics,Y,,Ron Corbett (minors),RHP,,,,,,,,,,,,,4Yr,"Suffolk University (Boston, MA)",/register/player.fcgi?id=corbet001ron,baseball_reference_minor_league_id,corbet001ron,NA,OAK
1971,2,6sc,39,FrRnd,16,Reds,N,,Tom Rima (minors),OF,,,,,,,,,,,,,JC,"Indian Hills Community College (Centerville, IA)",/register/player.fcgi?id=rima--001tho,baseball_reference_minor_league_id,rima--001tho,NA,CIN
1971,3,6sc,40,FrRnd,1,White Sox,N,,Archie Manning (minors),SS,,,,,,,,,,,,,4Yr,"University of Mississippi (Oxford, MS)",/register/player.fcgi?id=mannin000arc,baseball_reference_minor_league_id,mannin000arc,NA,CHW
1971,3,6sc,41,FrRnd,2,Cardinals,Y,,Tom Zimmer (minors),C,,,,,,,,,,,,,JC,"State College of Florida, Manatee-Sarasota (Bradenton, FL)",/register/player.fcgi?id=zimmer001tho,baseball_reference_minor_league_id,zimmer001tho,NA,STL
1971,3,6sc,42,FrRnd,3,Angels,N,,Gary Hampton (minors),2B,,,,,,,,,,,,,JC,"Fresno City College (Fresno, CA)",/register/player.fcgi?id=hampto000gar,baseball_reference_minor_league_id,hampto000gar,NA,ANA
1971,3,6sc,43,FrRnd,4,Red Sox,Y,,Henry Baker (minors),3B,,,,,,,,,,,,,4Yr,"Southern University and A&M College (Baton Rouge, LA)",/register/player.fcgi?id=baker-002hen,baseball_reference_minor_league_id,baker-002hen,NA,BOS
1971,3,6sc,44,FrRnd,5,Orioles,N,,Robert Loughery (minors),RHP,,,,,,,,,,,,,JC,"Anne Arundel Community College (Arnold, MD)",/register/player.fcgi?id=loughe000rob,baseball_reference_minor_league_id,loughe000rob,NA,BAL
1971,3,6sc,45,FrRnd,6,Mets,Y,,Michael McManus (minors),RHP,,,,,,,,,,,,,JC,"Mount San Antonio College (Walnut, CA)",/register/player.fcgi?id=mcmanu001mic,baseball_reference_minor_league_id,mcmanu001mic,NA,NYM
1971,3,6sc,46,FrRnd,7,Twins,Y,,Jeff Kalish (minors),3B,,,,,,,,,,,,,4Yr,"New York University (New York, NY)",/register/player.fcgi?id=kalish001jef,baseball_reference_minor_league_id,kalish001jef,NA,MIN
1971,3,6sc,47,FrRnd,8,Phillies,N,,Tom Rosa (minors),SS,,,,,,,,,,,,,4Yr,"Miami Dade College, Kendall Campus (Miami, FL)",/register/player.fcgi?id=rosa--000tom,baseball_reference_minor_league_id,rosa--000tom,NA,PHI
1971,3,6sc,48,FrRnd,9,Yankees,N,,Greg Van Gaver (minors),RHP,,,,,,,,,,,,,JC,"Bellevue College (Bellevue, WA)",/register/player.fcgi?id=vangav001gre,baseball_reference_minor_league_id,vangav001gre,NA,NYY
1971,3,6sc,49,FrRnd,10,Athletics,Unk,,Charles Bates (minors),3B,,,,,,,,,,,,,JC,"Compton College (Compton, CA)",/register/player.fcgi?id=bates-003cha,baseball_reference_minor_league_id,bates-003cha,NA,OAK
1971,4,6sc,50,FrRnd,1,White Sox,N,,Frank Baumgardner (minors),RHP,,,,,,,,,,,,,JC,"Miami Dade College (Miami, FL)",/register/player.fcgi?id=baumga001fra,baseball_reference_minor_league_id,baumga001fra,NA,CHW
