Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,GP,W,L,ERA,WHIP,SV,Type,DraftedOutOf,link,id_type,player_id,notes,team_id
1971,1,6sd,1,FrRnd,1,Senators,Y,,Pete Broberg (minors),RHP,-0.9,80,101,1,.089,.265,206,41,71,4.56,1.47,1,4Yr,"Dartmouth College (Hanover, NH)",/players/b/brobepe01.shtml,baseball_reference_id,brobepe01,NA,TEX
1971,1,6sd,2,FrRnd,2,Cubs,Y,,Burt Hooton (minors),RHP,35.6,452,748,4,.123,.337,480,151,136,3.38,1.24,7,4Yr,"University of Texas at Austin (Austin, TX)",/players/h/hootobu01.shtml,baseball_reference_id,hootobu01,NA,CHC
1971,1,6sd,3,FrRnd,3,Brewers,Y,,Rob Ellis (minors),INF,-1.1,64,166,0,.229,.550,,,,,,,4Yr,"Michigan State University (East Lansing, MI)",/players/e/ellisro01.shtml,baseball_reference_id,ellisro01,NA,MIL
1971,1,6sd,4,FrRnd,4,Expos,Y,,Steve Rogers (minors),RHP,44.7,406,881,0,.139,.347,399,158,152,3.17,1.23,2,4Yr,"University of Tulsa (Tulsa, OK)",/players/r/rogerst01.shtml,baseball_reference_id,rogerst01,NA,WSN
1971,1,6sd,5,FrRnd,5,Red Sox,N,,Jim Burton (minors),LHP,-0.3,0,0,0,,,30,1,2,2.75,1.44,1,4Yr,"University of Michigan (Ann Arbor, MI)",/players/b/burtoji01.shtml,baseball_reference_id,burtoji01,NA,BOS
1971,1,6sd,6,FrRnd,6,Reds,Y,,Ray Borowicz (minors),SS,,,,,,,,,,,,,,,/register/player.fcgi?id=borowi002ray,baseball_reference_minor_league_id,borowi002ray,NA,CIN
1971,1,6sd,7,FrRnd,7,Orioles,Y,,Paul Mitchell (minors),RHP,2.3,0,0,0,,,125,32,39,4.45,1.39,1,4Yr,"Old Dominion University (Norfolk, VA)",/players/m/mitchpa01.shtml,baseball_reference_id,mitchpa01,NA,BAL
1971,1,6sd,8,FrRnd,8,Astros,N,,Rich Troedson (minors),LHP,0.1,65,41,0,.171,.361,65,8,10,4.74,1.51,2,4Yr,"Santa Clara University (Santa Clara, CA)",/players/t/troedri01.shtml,baseball_reference_id,troedri01,NA,HOU
1971,1,6sd,9,FrRnd,9,Twins,Y,,Glenn Borgmann (minors),C,5.6,474,1294,16,.229,.630,,,,,,,4Yr,"University of South Alabama (Mobile, AL)",/players/b/borgmgl01.shtml,baseball_reference_id,borgmgl01,NA,MIN
1971,1,6sd,10,FrRnd,10,Giants,N,,Paul Patterson (minors),RHP,,,,,,,,,,,,,,,/register/player.fcgi?id=patter003pau,baseball_reference_minor_league_id,patter003pau,NA,SFG
1971,1,6sd,11,FrRnd,11,Angels,Y,,Jack Donovan (minors),RHP,,,,,,,,,,,,,4Yr,"Seton Hall University (South Orange, NJ)",/register/player.fcgi?id=donova001joh,baseball_reference_minor_league_id,donova001joh,NA,ANA
1971,1,6sd,12,FrRnd,12,Padres,Y,,Charles Dudish (minors),SS,,,,,,,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",/register/player.fcgi?id=dudish001and,baseball_reference_minor_league_id,dudish001and,NA,SDP
1971,1,6sd,13,FrRnd,13,Yankees,Y,,Mike Pazik (minors),LHP,-0.5,0,0,0,,,13,1,4,5.79,1.69,0,4Yr,"College of the Holy Cross (Worcester, MA)",/players/p/pazikmi01.shtml,baseball_reference_id,pazikmi01,NA,NYY
1971,1,6sd,14,FrRnd,14,Pirates,Y,,William Thomas (minors),3B,,,,,,,,,,,,,4Yr,"Washington State University (Pullman, WA)",/register/player.fcgi?id=thomas004tho,baseball_reference_minor_league_id,thomas004tho,NA,PIT
1971,1,6sd,15,FrRnd,15,Royals,Y,,Roger Schmuck (minors),OF,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",/register/player.fcgi?id=schmuc001rog,baseball_reference_minor_league_id,schmuc001rog,NA,KCR
1971,1,6sd,16,FrRnd,16,Cardinals,N,,Rick Pope (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",/register/player.fcgi?id=pope--001ric,baseball_reference_minor_league_id,pope--001ric,NA,STL
1971,1,6sd,18,FrRnd,18,Braves,Y,,Mike Beard (minors),LHP,1.2,74,10,0,.100,.282,74,4,2,3.74,1.47,1,4Yr,"University of Texas at Austin (Austin, TX)",/players/b/beardmi01.shtml,baseball_reference_id,beardmi01,NA,ATL
1971,1,6sd,19,FrRnd,19,Athletics,Y,,Mike Weathers (minors),2B,,,,,,,,,,,,,4Yr,"Chapman University (Orange, CA)",/register/player.fcgi?id=weathe001ste,baseball_reference_minor_league_id,weathe001ste,NA,OAK
